nodes,distance
"[8184177158, 8173724101]",0.760625
"[8184177158, 8173724101]",0.661865
"[8184177159, 6668245195]",1.985595
"[8184177159, 6668245195]",1.42212
"[8184177159, 6668245195]",2.978393
"[8184177159, 6668245195]",2.64746
"[8184177159, 6668245195]",2.218836
"[8184177159, 6668245195]",2.549733
"[8184177159, 6668245195]",2.64746
"[8184177159, 6668245195]",0.992798
"[8184177159, 6668245195]",0.103955
"[8184177159, 6668245195]",1.557086
"[8184177158, 8173724101]",2.943205
"[8184177158, 8173724101]",0.531434
"[8184177158, 8173724101]",0.430305
"[8184177158, 8173724101]",0.564972
"[8184177158, 8173724101]",0.235549
"[8184177158, 8173724101]",0.330933
"[8184177158, 8173724101]",0.760625
"[8184177158, 8173724101]",2.281876
"[8184177158, 8173724101]",3.407468
"[8184177158, 8173724101]",3.505945
"[8184177158, 8173724101]",1.851899
"[8184177158, 8173724101]",1.091317
"[8173724100, 10130015988]",2.351054
"[8173724132, 1008752612]",2.407162
"[8173724132, 1008752612]",2.754927
"[8173724118, 8173724119]",1.091317
"[8173724118, 8173724119]",1.290915
"[8173724118, 8173724119]",2.682419
"[10130015809, 4559369103]",2.884312
"[10130015809, 4559369103]",3.112705
"[10130015809, 98009380]",2.58183
"[6668214465, 98009380]",0.760625
"[6668214465, 103041221]",0.103955
"[6668214465, 103041221]",1.19076
"[6668214465, 103041221]",2.151525
"[6668245194, 103041221]",3.1421
"[6668245194, 103041221]",3.042502
"[6668245194, 103041221]",3.042502
"[6668245194, 103041221]",1.521251
"[6668245194, 103041221]",1.752973
"[8176641125, 6668245194]",2.573727
"[10130015893, 98009586]",0.110712
"[10130015893, 98009586]",2.712812
"[10130015880, 10130015879]",3.582034
"[6668245193, 322505603]",2.612506
"[6668245193, 322505603]",1.42212
"[6668245193, 322505603]",1.091317
"[6668245193, 322505603]",0.992798
"[6668245193, 322505603]",2.612506
"[6668245193, 322505603]",2.943205
"[8176641121, 6668245190]",0.348024
"[6668245190, 98009585]",0.992798
"[10130015860, 98009585]",0.110712
"[2307422311, 98009585]",0.103955
"[2307422311, 98009585]",0.207909
"[2307422311, 98009585]",0.661865
"[2307422311, 98009585]",1.72122
"[6662289414, 2307422311]",0.760625
"[6662289414, 2307422311]",0.86061
"[6662289414, 2307422311]",2.711957
"[8176641136, 8176641117]",2.281876
"[8176641136, 8176641117]",2.612506
"[6662289414, 2307422311]",1.851899
"[8176641117, 6662289414]",0.0
"[6662289414, 98009584]",0.760625
"[6662289414, 98009584]",0.330933
"[6662289413, 98009584]",0.244612
"[6662289413, 98009584]",3.828264
"[10291755877, 8173724173]",1.129943
"[10291755877, 8173724172]",0.235549
"[8173724172, 8173724179]",0.760625
"[8173724172, 8173724179]",0.235549
"[8173724172, 8173724179]",0.760625
"[8173724172, 8173724179]",0.86061
"[8173724172, 8173724179]",2.612506
"[8176641050, 8176641051]",0.455602
"[8173724187, 8176641053]",1.574963
"[8176641061, 8176641048]",1.226259
"[8176641061, 8176641048]",0.0
"[8176641061, 8176641048]",0.992798
"[8176641061, 8176641048]",0.330933
"[8176641061, 8176641048]",0.760625
"[8176641061, 8176641048]",1.557086
"[8176641061, 8176641048]",0.430305
"[8176641061, 8173724188]",0.661865
"[6651584901, 98009581]",4.179907
"[8173724244, 8173724245]",3.175085
"[8173724243, 8173724280]",1.521251
"[8173724243, 8173724280]",1.851899
"[8173724243, 8173724280]",2.381521
"[8173724243, 8173724280]",1.951348
"[8173724243, 8173724280]",1.19076
"[8173724243, 8173724280]",1.42212
"[8173724243, 8173724280]",1.19076
"[8173724243, 8173724280]",0.207909
"[8173724243, 8173724280]",0.0
"[8173724243, 8173724280]",2.281876
"[8173724243, 8173724280]",2.381521
"[8173724243, 8173724280]",0.992798
"[8173724243, 8173724280]",0.661865
"[8176640987, 8173724280]",1.091317
"[8176640987, 8173724280]",0.564972
"[6651678060, 98009580]",2.711957
"[6651678059, 98009580]",1.604774
"[8176641007, 8176599807]",0.244612
"[8176641007, 6646949996]",0.430305
"[8176641007, 6646949996]",0.564972
"[8176641007, 6646949996]",3.472573
"[8176640993, 8176640992]",4.167701
"[8176641007, 6646949996]",1.752973
"[8176641007, 6646949996]",1.091317
"[8176641007, 6646949996]",0.86061
"[8176641007, 6646949996]",2.711957
"[8176641007, 6646949996]",2.711957
"[8176640958, 6646949996]",1.877994
"[8176640958, 6646949996]",1.74012
"[6646949996, 98009579]",2.381521
"[6646949997, 98009579]",1.150205
"[6646949994, 98009579]",0.760625
"[6646949994, 98009579]",0.103955
"[103010880, 6646949994]",1.19076
"[103010880, 6646949994]",1.32373
"[103010880, 6646949994]",3.505945
"[103010880, 6646949994]",3.373122
"[5703662598, 103010880]",3.738385
"[5703662598, 103010880]",4.167701
"[5703662598, 103010880]",4.498591
"[5703662597, 5703662596]",5.225013
"[5703662597, 5703662596]",5.324378
"[5703662597, 5703662596]",4.696043
"[5703662597, 5703662596]",2.711957
"[5703662597, 5703662596]",1.19076
"[6588880036, 5703662597]",0.221424
"[6588880036, 5703662597]",9.602236
"[5703662590, 6591434417]",15.51493
"[5703662590, 6591434417]",1.150205
"[5703662590, 6591434417]",16.557258
"[5703662590, 6591434417]",19.633681
"[4023288103, 103010881]",22.442918
"[4023288103, 103010881]",22.307592
"[4023288103, 103010881]",23.435697
"[4023288103, 103010881]",23.53348
"[4023288103, 103010881]",24.661663
"[4023288103, 103010881]",26.316287
"[4023288103, 103010881]",28.301842
"[4023288103, 103010881]",26.414044
"[4023288103, 103010881]",23.766624
"[7202327201, 4023288101]",22.475812
"[7202327201, 4023288101]",19.3488
